zip_code,state,population,growth,average_age,income_per_house
7060,Plainfield NJ,"44,029",-2%,33.6,"$51,406.00"
8360,Vineland NJ,"43,977",1%,35.5,"$36,163.00"
8724,Brick NJ,"43,419",2%,43.7,"$53,827.00"
8054,Mount Laurel NJ,"43,092",2%,41.8,"$63,750.00"
8302,Bridgeton NJ,"42,566",-10%,34,"$35,835.00"
7601,Hackensack NJ,"42,340",-1%,37.5,"$49,316.00"
7105,Newark NJ,"42,144",-11%,33.5,"$35,044.00"
7960,Morristown NJ,"41,886",-4%,39.9,"$81,621.00"
8094,Williamstown NJ,"41,425",3%,39,"$50,206.00"
7307,Jersey City NJ,"41,173",-6%,33.5,"$38,720.00"
8902,North Brunswick NJ,"41,126",0%,35.5,"$61,277.00"
7304,Jersey City NJ,"41,088",0%,33.8,"$31,685.00"
7712,Asbury Park NJ,"40,749",3%,39.1,"$40,046.00"
7036,Linden NJ,"40,712",-3%,39,"$45,960.00"
8857,Old Bridge NJ,"40,281",0%,40,"$65,855.00"
7302,Jersey City NJ,"40,092",9%,33.2,"$45,223.00"
7731,Howell NJ,"39,458",2%,38.3,"$71,153.00"
8820,Edison NJ,"39,426",0%,40.7,"$85,927.00"
7666,Teaneck NJ,"39,288",-1%,39.3,"$74,903.00"
8012,Blackwood NJ,"39,189",0%,38.9,"$53,479.00"
8080,Sewell NJ,"39,004",4%,41,"$70,418.00"
8844,Hillsborough NJ,"38,957",1%,40,$0.00
8807,Bridgewater NJ,"38,058",0%,41.7,"$86,517.00"
7202,Elizabeth NJ,"37,814",-8%,34.4,"$35,347.00"
8332,Millville NJ,"37,278",1%,36.9,"$40,471.00"
7011,Clifton NJ,"37,158",-6%,35.1,"$43,850.00"
7024,Fort Lee NJ,"37,098",4%,44.7,"$58,161.00"
7753,Neptune NJ,"36,187",-3%,44.1,"$50,927.00"
7107,Newark NJ,"36,144",-4%,30.5,"$25,095.00"
7017,East Orange NJ,"36,065",0%,35.6,"$33,418.00"
8096,Woodbury NJ,"35,965",0%,39.9,"$49,702.00"
7740,Long Branch NJ,"35,302",12%,33.9,"$38,733.00"
7109,Belleville NJ,"34,948",-2%,37.1,"$48,608.00"
7032,Kearny NJ,"34,610",-17%,36.4,"$47,757.00"
8759,Manchester Township NJ,"34,610",3%,69.1,"$23,914.00"
8618,Trenton NJ,"34,236",-11%,31.4,"$36,289.00"
8757,Toms River NJ,"34,160",2%,64.6,"$30,177.00"
8723,Brick NJ,"33,357",5%,42.9,"$50,069.00"
8016,Burlington NJ,"33,028",-1%,39.5,"$54,114.00"
7410,Fair Lawn NJ,"32,165",0%,43.1,"$72,127.00"
7747,Matawan NJ,"31,956",3%,40.8,"$72,468.00"
8046,Willingboro NJ,"31,430",0%,41,"$60,869.00"
7208,Elizabeth NJ,"31,251",0%,35.5,"$39,350.00"
8610,Trenton NJ,"31,163",2%,38.3,"$49,710.00"
7501,Paterson NJ,"30,971",-8%,31.5,"$24,938.00"
7050,Orange NJ,"30,813",2%,34.5,"$35,759.00"
8865,Phillipsburg NJ,"30,746",2%,40.2,"$44,092.00"
8003,Cherry Hill NJ,"30,724",0%,43.8,"$87,248.00"
8822,Flemington NJ,"30,715",1%,42.2,"$77,639.00"
8075,Riverside NJ,"30,574",5%,38.1,"$52,873.00"
7090,Westfield NJ,"30,443",0%,41,"$98,684.00"
8043,Voorhees NJ,"30,096",3%,42.6,"$68,402.00"
7840,Hackettstown NJ,"29,954",0%,40,"$60,862.00"
87121,Albuquerque NM,"73,554",-4%,27.9,"$34,359.00"
87114,Albuquerque NM,"64,527",4%,33.2,"$49,897.00"
87120,Albuquerque NM,"59,294",2%,34.7,"$53,029.00"
87111,Albuquerque NM,"56,701",0%,45.1,"$51,937.00"
87105,Albuquerque NM,"54,998",-4%,35.1,"$31,638.00"
87124,Rio Rancho NM,"54,114",5%,37.5,"$47,093.00"
88101,Clovis NM,"48,883",7%,31.3,"$28,934.00"
