ranking,World Rank,University,Det.,Country,Presence Rank*,Impact Rank*,Openness Rank*,Excellence Rank*
138,412,Brandeis University,,,1449,228,362,713
139,419,Portland State University,,,263,182,425,893
140,421,Rochester Institute of Technology,,,502,128,576,988
141,424,University of Nevada Reno,,,1284,256,354,741
142,425,University of Maryland Baltimore County,,,697,249,446,758
143,437,Mississippi State University,,,964,268,605,717
144,442,College of William & Mary,,,697,253,548,783
145,443,University of Texas San Antonio,,,1342,444,435,574
146,452,University of Wyoming,,,1580,326,509,674
147,453,Michigan Technological University,,,1255,223,573,823
148,456,University of Nevada Las Vegas,,,964,280,486,778
149,457,Loyola University Chicago,,,828,282,734,712
150,457,Montana State University,,,1188,265,491,798
151,460,Saint Louis University,,,1902,373,550,622
152,461,University of North Carolina Charlotte,,,1169,336,469,701
153,464,New Mexico State University,,,974,229,630,836
154,466,Medical University of South Carolina,,,3365,860,358,356
155,468,Jefferson (Philadelphia University and Thomas Jefferson University),,,2285,744,431,406
156,469,University of Missouri Kansas City,,,1509,294,664,711
157,471,University of Idaho,,,1255,277,512,802
158,475,University of Rhode Island,,,1203,261,447,854
159,488,Illinois Institute of Technology,,,1351,307,499,785
160,491,Lehigh University,,,1234,293,349,857
161,496,(3) University of Texas Health Science Center at San Antonio,,,2174,794,237,474
162,510,Northern Illinois University,,,1242,289,798,795
163,514,Rockefeller University,,,4360,719,334,486
164,517,University of Denver,,,1701,250,566,910
165,520,Ohio University,,,1580,318,556,832
166,521,Binghamton University,,,2041,332,423,837
167,523,American University Washington DC,,,1594,170,571,1091
168,530,Medical College of Wisconsin,,,1433,911,503,468
169,530,University of Akron,,,2094,422,526,763
170,537,Fordham University,,,1342,157,739,1174
171,540,Northern Arizona University,,,1277,281,419,1001
172,541,University of Massachusetts Boston,,,1580,354,538,860
173,550,Icahn School of Medicine at Mount Sinai,,,5041,1351,2443,132
174,551,Florida Atlantic University,,,1529,367,338,937
175,552,Southern Illinois University,,,820,391,726,852
176,556,New Jersey Institute of Technology,,,2050,486,420,808
177,562,(3) University of Kansas Medical Center,,,3148,805,480,551
178,563,San Francisco State University,,,1327,221,764,1097
179,567,University of Texas El Paso,,,659,442,570,896
180,567,Worcester Polytechnic Institute,,,1181,314,541,1014
181,573,East Carolina University,,,1216,417,586,899
182,577,Colorado School of Mines,,,2916,746,365,640
183,581,University of Toledo,,,1776,530,531,796
184,589,University of Montana Missoula,,,1181,361,1021,891
185,603,University of North Carolina at Greensboro,,,1069,435,500,1000
186,607,Miami University of Ohio,,,898,379,600,1050
187,611,North Dakota State University,,,1216,542,673,855
188,624,(3) University of Texas Medical Branch Galveston,,,2566,1003,422,607
189,643,University of Memphis (including Lambuth),,,2684,572,525,902
190,643,San José State University,,,1001,208,860,1423
191,650,Missouri University of Science & Technology,,,1342,821,518,770
192,657,University of California Merced,,,1684,727,582,834
193,662,University of Nebraska Medical Center,,,2174,1172,443,611
194,663,Wright State University,,,1475,455,728,1047
195,669,Marquette University,,,1529,388,833,1124
196,675,Depaul University,,,1223,254,793,1423
197,677,University of Massachusetts Lowell,,,1979,496,631,1029
198,679,Texas State University,,,1470,381,676,1222
199,681,University of North Dakota,,,2317,328,964,1174
200,687,Creighton University,,,1992,410,946,1073
201,689,Western Michigan University,,,1195,324,744,1336
